No.,th_word,en_word
94,ตาแดง,conjuntivitis
95,หงอนเหนียง/แข้งมีสีม่วง,cyanotic_wattle_and_crop/leg
96,มีแผลลอก,abrasion
97,ผอมอย่างรวดเร็ว,emaciation
98,เกิดผื่นที่ผิวหนัง,skin_rash
99,มีเนื้อตาย,necrosis
100,ขี้เป็นก้อนแข็ง,hard_and_dry_feces
101,หลังโก่ง,kyphosis
102,ขนหยิกหยอง,ruffle_hair/feather
103,โตช้า,poor_ growth
104,เยื่อตาอักเสบ,conjunctivitis
105,หางตก,tail_drop
106,ท้องผูก,constipation
107,ตายแรกคลอดสูง,highly_stillbirth
108,ตากแรกคลอดสูง,highly_stillbirth
109,เป็นแผลตามข้อหรือร่องกีบ,wound_on_joint/hooves
110,หงอนสีม่วง,swollen_and_cyanotic_wattles
111,กระหายน้ำจัด,thirsty
112,อุจจาระมีกลิ่นเหม็นเน่า,foul_smelling_feces
113,อุจจาระมีเลือดปน,hematochezia
114,หายใจถี่,tachypnea
115,ไข้สูง/ซืม/ไม่กินอาหาร,ไข้สูง/ซืม/ไม่กินอาหาร
116,มีตุ่มน้ำใสที่ปาก,มีตุ่มน้ำใสที่ปาก
117,ผิวหนังหยาบกร้าน,ผิวหนังหยาบกร้าน
118,ไข้สูง/ซืม/ไม่กินอาหาร,ไข้สูง/ซืม/ไม่กินอาหาร
119,ไช่รูปร่างผิดปกติ,ไช่รูปร่างผิดปกติ
120,ไม่กินอาหาร,ไม่กินอาหาร
121,ไอกระแทก,ไอกระแทก
122,ซืม/เหงา/ไม่กินอาหาร,ซืม/เหงา/ไม่กินอาหาร
123,ซึม,ซึม
124,กลืนอาหารลำบาก,กลืนอาหารลำบาก
